Training  for 1 epoch(s)
Epoch 1
Iteration:  9400 	s:9.0729 	Average Loss:  14.501738324593575
Iteration:  9500 	s:9.4235 	Average Loss:  12.74154230922446
Iteration:  9600 	s:9.5834 	Average Loss:  13.073386009838273
Iteration:  9700 	s:9.4589 	Average Loss:  12.252287782523638
Iteration:  9800 	s:9.5587 	Average Loss:  14.064203698262409
Iteration:  9900 	s:9.5954 	Average Loss:  13.300498742442413
Iteration:  10000 	s:10.5354 	Average Loss:  12.786383581198598
Iteration:  10100 	s:11.3857 	Average Loss:  12.967255207672556
Iteration:  10200 	s:11.3326 	Average Loss:  14.328048232924015
Iteration:  10300 	s:10.9451 	Average Loss:  13.01311694446936
Iteration:  10400 	s:10.3470 	Average Loss:  13.239528796635405
Iteration:  10500 	s:10.6073 	Average Loss:  13.243667241148486
Iteration:  10600 	s:10.4756 	Average Loss:  12.698080974090699
Iteration:  10700 	s:9.8187 	Average Loss:  14.591685724388634
